ID,intervention,intrinsic_a_T1,intrinsic_b_T1,intrinsic_c_T1,intrinsic_d_T1,intrinsic_a_T2,intrinsic_b_T2,intrinsic_c_T2,intrinsic_d_T2,identified_a_T1,identified_b_T1,identified_c_T1,identified_d_T1,identified_a_T2,identified_b_T2,identified_c_T2,identified_d_T2
1,1,5,4,4,4,4,3,4,4,5,2,3,2,4,3,4,3
2,1,5,4,4,4,5,4,3,4,5,5,5,4,4,5,5,5
3,1,4,4,4,4,5,4,4,3,5,2,3,2,5,4,4,5
4,1,3,3,3,3,3,3,3,3,4,3,3,1,3,3,3,3
5,1,4,5,5,5,NA,NA,NA,NA,4,4,4,1,NA,NA,NA,NA
6,1,5,5,4,5,5,5,5,5,4,4,4,4,5,5,5,3
7,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,3
8,1,5,5,5,5,5,5,5,5,5,5,4,3,5,1,5,5
9,1,4,4,4,5,4,5,4,5,4,3,4,4,5,3,3,3
10,0,4,4,5,4,5,4,4,4,4,2,3,1,4,4,4,2
11,1,5,5,5,5,4,5,5,5,2,4,2,3,4,3,3,5
12,1,5,4,4,4,5,4,4,4,5,4,5,3,5,5,5,4
13,1,3,3,3,3,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA
14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0,5,3,3,2,NA,NA,NA,NA,4,4,3,1,NA,NA,NA,NA
16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0,NA,NA,NA,NA,5,4,5,5,NA,NA,NA,NA,5,5,4,3
18,1,4,4,3,4,4,4,4,4,5,4,4,2,4,2,3,1
19,1,1,3,3,3,4,3,3,3,4,2,2,1,4,2,3,1
20,0,2,3,3,4,NA,NA,NA,NA,3,3,2,1,NA,NA,NA,NA
21,1,4,4,3,3,4,3,4,4,4,4,4,4,4,3,4,4
22,1,3,3,2,2,NA,NA,NA,NA,3,2,2,1,NA,NA,NA,NA
23,0,NA,NA,NA,NA,3,3,5,3,NA,NA,NA,NA,4,3,3,1
24,1,4,3,3,3,NA,NA,NA,NA,4,3,2,2,NA,NA,NA,NA
25,0,3,4,4,4,5,4,4,4,3,3,4,2,5,4,4,3
26,0,5,5,5,5,NA,NA,NA,NA,5,4,2,5,NA,NA,NA,NA
27,0,4,3,4,3,4,4,4,3,2,3,3,3,3,4,3,4
28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,5,5,5,5,5,4,5,5,5,5,3,5,5,4,5,3
30,1,NA,NA,NA,NA,4,5,4,4,NA,NA,NA,NA,4,3,4,5
31,0,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,5,4,5,1
32,0,4,4,4,4,4,3,3,3,4,4,3,1,4,3,3,2
33,0,4,4,4,4,5,3,3,3,4,4,4,2,5,5,5,2
34,0,4,5,5,4,5,5,5,5,4,5,4,2,5,5,4,3
35,0,2,3,3,4,2,1,2,4,3,2,3,1,2,1,1,1
36,1,4,5,4,5,5,5,4,5,4,4,4,2,4,3,4,2
37,0,5,5,5,4,5,5,5,5,5,5,3,4,5,5,5,4
38,1,4,4,4,4,5,5,4,5,5,4,4,2,4,4,4,2
39,0,4,3,4,3,4,3,3,3,5,5,5,3,4,5,5,3
40,1,NA,NA,NA,NA,3,3,2,1,NA,NA,NA,NA,3,1,1,1
41,1,4,3,3,3,4,4,4,4,3,2,2,1,4,4,3,2
42,0,5,5,5,5,5,5,4,4,5,5,5,3,5,4,4,2
43,1,3,2,3,3,4,3,3,4,4,4,4,3,4,3,4,3
